EmployeeID,DealershipID,Month,Sales_Amount,Urban_or_Rural
E101,D1,April,32052,Urban
E102,D1,April,49151,Urban
E103,D1,April,44417,Urban
E101,D1,August,35036,Urban
E102,D1,August,27042,Urban
E103,D1,August,32227,Urban
E101,D1,December,42460,Urban
E102,D1,December,46668,Urban
E103,D1,December,25100,Urban
E101,D1,February,45319,Urban
E102,D1,February,25129,Urban
E103,D1,February,33317,Urban
E101,D1,January,47419,Urban
E102,D1,January,46102,Urban
E103,D1,January,29018,Urban
E101,D1,July,40693,Urban
E102,D1,July,32933,Urban
E103,D1,July,20610,Urban
E101,D1,June,29744,Urban
E102,D1,June,40948,Urban
E103,D1,June,43321,Urban
E101,D1,March,45822,Urban
E102,D1,March,28967,Urban
E103,D1,March,42597,Urban
E101,D1,May,21967,Urban
E102,D1,May,26749,Urban
E103,D1,May,22432,Urban
E101,D1,November,42358,Urban
E102,D1,November,43831,Urban
E103,D1,November,35574,Urban
E101,D1,October,28315,Urban
E102,D1,October,21760,Urban
E103,D1,October,35449,Urban
E101,D1,September,30488,Urban
E102,D1,September,33861,Urban
E103,D1,September,49124,Urban
E1001,D10,April,19677,Rural
E1002,D10,April,29248,Rural
E1003,D10,April,21820,Rural
E1001,D10,August,15533,Rural
E1002,D10,August,26962,Rural
E1003,D10,August,23895,Rural
E1001,D10,December,27241,Rural
E1002,D10,December,16074,Rural
E1003,D10,December,25846,Rural
E1001,D10,February,18555,Rural
E1002,D10,February,25781,Rural
E1003,D10,February,21634,Rural
E1001,D10,January,24457,Rural
E1002,D10,January,14308,Rural
E1003,D10,January,10813,Rural
E1001,D10,July,27362,Rural
E1002,D10,July,22569,Rural
E1003,D10,July,12579,Rural
E1001,D10,June,12686,Rural
E1002,D10,June,18116,Rural
E1003,D10,June,28735,Rural
E1001,D10,March,15846,Rural
E1002,D10,March,16723,Rural
E1003,D10,March,17000,Rural
E1001,D10,May,10220,Rural
E1002,D10,May,15838,Rural
E1003,D10,May,28402,Rural
E1001,D10,November,21013,Rural
E1002,D10,November,21771,Rural
E1003,D10,November,27668,Rural
E1001,D10,October,21445,Rural
E1002,D10,October,10446,Rural
E1003,D10,October,13068,Rural
E1001,D10,September,27906,Rural
E1002,D10,September,22077,Rural
E1003,D10,September,10645,Rural
E201,D2,April,27049,Rural
E202,D2,April,14960,Rural
E203,D2,April,16495,Rural
E204,D2,April,13942,Rural
E205,D2,April,13496,Rural
E201,D2,August,19285,Rural
E202,D2,August,21124,Rural
E203,D2,August,23253,Rural
E204,D2,August,17848,Rural
E205,D2,August,18810,Rural
E201,D2,December,28536,Rural
E202,D2,December,17645,Rural
E203,D2,December,15135,Rural
E204,D2,December,20756,Rural
E205,D2,December,25417,Rural
E201,D2,February,25587,Rural
E202,D2,February,26956,Rural
E203,D2,February,13055,Rural
E204,D2,February,20048,Rural
E205,D2,February,16128,Rural
E201,D2,January,16034,Rural
E202,D2,January,18531,Rural
E203,D2,January,11903,Rural
E204,D2,January,13245,Rural
E205,D2,January,26761,Rural
E201,D2,July,12249,Rural
E202,D2,July,15696,Rural
E203,D2,July,12549,Rural
E204,D2,July,14929,Rural
E205,D2,July,14781,Rural
E201,D2,June,22556,Rural
E202,D2,June,19492,Rural
E203,D2,June,15148,Rural
E204,D2,June,27924,Rural
E205,D2,June,12603,Rural
E201,D2,March,13708,Rural
E202,D2,March,11170,Rural
E203,D2,March,23138,Rural
E204,D2,March,10107,Rural
E205,D2,March,13063,Rural
E201,D2,May,25001,Rural
E202,D2,May,19210,Rural
E203,D2,May,12151,Rural
E204,D2,May,22103,Rural
E205,D2,May,15336,Rural
E201,D2,November,28114,Rural
E202,D2,November,12652,Rural
E203,D2,November,25262,Rural
E204,D2,November,20157,Rural
E205,D2,November,26126,Rural
E201,D2,October,27497,Rural
E202,D2,October,18390,Rural
E203,D2,October,21093,Rural
E204,D2,October,25277,Rural
E205,D2,October,17818,Rural
E201,D2,September,23586,Rural
E202,D2,September,12874,Rural
E203,D2,September,20208,Rural
E204,D2,September,25040,Rural
E205,D2,September,28917,Rural
E301,D3,April,44954,Urban
E302,D3,April,33413,Urban
E303,D3,April,36256,Urban
E304,D3,April,21238,Urban
E305,D3,April,46052,Urban
E301,D3,August,23821,Urban
E302,D3,August,27277,Urban
E303,D3,August,27321,Urban
E304,D3,August,43590,Urban
E305,D3,August,25155,Urban
E301,D3,December,32835,Urban
E302,D3,December,22121,Urban
E303,D3,December,38192,Urban
E304,D3,December,21198,Urban
E305,D3,December,22889,Urban
E301,D3,February,40795,Urban
E302,D3,February,32205,Urban
E303,D3,February,28595,Urban
E304,D3,February,25866,Urban
E305,D3,February,40888,Urban
E301,D3,January,41986,Urban
E302,D3,January,37771,Urban
E303,D3,January,44693,Urban
E304,D3,January,28529,Urban
E305,D3,January,30218,Urban
E301,D3,July,42516,Urban
E302,D3,July,31956,Urban
E303,D3,July,39114,Urban
E304,D3,July,40630,Urban
E305,D3,July,46646,Urban
E301,D3,June,48756,Urban
E302,D3,June,46961,Urban
E303,D3,June,28099,Urban
E304,D3,June,21900,Urban
E305,D3,June,49929,Urban
E301,D3,March,49505,Urban
E302,D3,March,32446,Urban
E303,D3,March,49100,Urban
E304,D3,March,20399,Urban
E305,D3,March,44878,Urban
E301,D3,May,40830,Urban
E302,D3,May,44972,Urban
E303,D3,May,25845,Urban
E304,D3,May,30489,Urban
E305,D3,May,43481,Urban
E301,D3,November,41349,Urban
E302,D3,November,28968,Urban
E303,D3,November,24050,Urban
E304,D3,November,31942,Urban
E305,D3,November,30186,Urban
E301,D3,October,29368,Urban
E302,D3,October,41608,Urban
E303,D3,October,30173,Urban
E304,D3,October,33862,Urban
E305,D3,October,24889,Urban
E301,D3,September,33153,Urban
E302,D3,September,33594,Urban
E303,D3,September,32138,Urban
E304,D3,September,28842,Urban
E305,D3,September,47447,Urban
E401,D4,April,27986,Rural
E402,D4,April,17256,Rural
E403,D4,April,23352,Rural
E404,D4,April,26863,Rural
E405,D4,April,28077,Rural
E401,D4,August,15052,Rural
E402,D4,August,14526,Rural
E403,D4,August,20222,Rural
E404,D4,August,11132,Rural
E405,D4,August,17905,Rural
E401,D4,December,22477,Rural
E402,D4,December,12469,Rural
E403,D4,December,24867,Rural
E404,D4,December,10624,Rural
E405,D4,December,16957,Rural
